pkl_path,model_name,world,seed,N,T,T_full,runtime_sec,ari_train,ari_holdout,gamma_diag_mae,alpha_h_mae,beta_m_mae,gamma_m_rec,gamma_m_mae,theta_corr,r_mae,rho_rec,rho_mae,ess_theta,ess_alpha_h,ess_beta_m,ess_Gamma,ess_pi0,ess_gamma_m,ess_r_nb,rhat_max,waic,ess_rho,ess_u,ess_v
overnight_28may/mixed/rep3/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4003.pkl,BEMMAOR-indiv-rfree,mixed,4003,200,52,92,370.9,0.42324308013392536,0.4254385432488789,0.06898381388233203,0.23219195314044172,0.09677490895435376,1.1830158588070685,0.05490475764212055,0.9309788731843215,0.22446473204342424,,,1655.0689343655497,6.215076384832686,6.224551462221749,1046.2733304201247,2155.417719549378,882.2202099877865,751.4323575774185,1.7410879814545022,,,,
overnight_28may/mixed/rep3/fit_Heckman-global-rfree_mixed_N200_T52_seed4003.pkl,Heckman-global-rfree,mixed,4003,200,52,92,468.4,0.34421796016293243,0.35095084422556894,0.07857994116619275,0.21653949998226396,0.2283710408925764,,,,1.007463724989639,0.022676007488668926,0.19546479850226622,,6.175252683254917,5.329643932296204,1655.706211922512,2908.0638483162215,,3223.0934360622864,2.103264481209898,,3799.399307578181,,
overnight_28may/mixed/rep3/fit_Hurdle-rfree_mixed_N200_T52_seed4003.pkl,Hurdle-rfree,mixed,4003,200,52,92,808.9,0.3540296210512487,0.35926055585425487,0.07675486518607155,0.1947639685049932,0.16385699459447053,,,,0.34871788979925716,,,,5.508556471828788,5.28046888184096,1225.593214581363,1894.6227798538312,,23.102697784256108,2.12177325527527,,,51.95144861362123,197.67696013818957
overnight_28may/mixed/rep3/fit_heckman-indiv-rfree_mixed_N200_T52_seed4003.pkl,heckman-indiv-rfree,mixed,4003,200,52,92,827.4,0.35960623511838224,0.36995656680703154,0.07729877245182444,0.13868317169107186,0.12669191837525445,,,,1.001343553508341,2.45973102570505,0.29194620514101005,,5.315277472775129,5.324569828658008,1945.7051028625558,3065.794390199814,,3967.9531302878086,2.103150358273573,,,,
overnight_28may/mixed/rep4/fit_BEMMAOR-global-rfree_mixed_N200_T52_seed4004.pkl,BEMMAOR-global-rfree,mixed,4004,200,52,92,4859.9,0.32166270214176346,0.30240714146800374,0.10204938091148334,0.8092256422384901,1.1342950389089708,3.9209295319386257,0.8762788595815876,,0.4286498240890321,,,988.1593878104063,241.04134845080117,6.296209312248088,1481.3024937014366,2018.2692129468226,798.6270354194937,1205.6731869570174,1.7396625630272173,,,,
overnight_28may/mixed/rep4/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4004.pkl,BEMMAOR-indiv-rfree,mixed,4004,200,52,92,351.0,0.4064562768877011,0.42122834093949835,0.08865988113577032,0.04300837081577016,0.11043183545637636,1.3852090226384848,0.11556270679154546,0.8947635413014386,0.23874239387667295,,,1450.565567256566,5.273135418456033,6.1755826427877185,2113.009516177404,3111.32200579296,883.6180769301992,1192.4909087025803,2.1189748462808136,,,,
overnight_28may/mixed/rep4/fit_Heckman-global-rfree_mixed_N200_T52_seed4004.pkl,Heckman-global-rfree,mixed,4004,200,52,92,482.7,0.34609228381601215,0.32641552769695703,0.1023386939725512,0.15015235574139194,0.2932135008293059,,,,0.9955683672454311,-0.03331208038919314,0.20666241607783864,,6.179355508764072,5.322776214604568,1363.7098475232817,2765.398528460762,,3391.646125208369,2.100446271679684,,3904.885504876379,,
overnight_28may/mixed/rep4/fit_Hurdle-rfree_mixed_N200_T52_seed4004.pkl,Hurdle-rfree,mixed,4004,200,52,92,426.7,0.36638264680576976,0.35420253312818656,0.09477864125759587,0.07690548468371335,0.17967608708159277,,,,0.3668108459269077,,,,4.9481229959631445,5.342445863936993,1047.7079268846119,1851.5406479488531,,105.0510280623785,2.4071191125179747,,,204.40818877771747,986.2457247976323
overnight_28may/mixed/rep4/fit_heckman-indiv-rfree_mixed_N200_T52_seed4004.pkl,heckman-indiv-rfree,mixed,4004,200,52,92,317.0,0.3703301757835089,0.3620380530127365,0.09325720492153451,0.0840369367038571,0.15019209230899475,,,,0.9949967214524792,2.4596328472855378,0.29192656945710754,,4.940144148332061,5.315127761941697,1962.924782949689,2532.5235012486264,,4205.6843289757535,2.4190422406464043,,,,
overnight_28may/mixed/rep5/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4005.pkl,BEMMAOR-indiv-rfree,mixed,4005,200,52,92,363.1,0.38473974947124356,0.4263272726532149,0.0934927197851455,0.1296073401318978,0.15927793477584262,0.96557326446159,0.010328020661522996,0.9140647637850494,1.1282033117340986,,,1763.8634985582967,5.900317122153421,6.194914885570628,2261.348578824952,3001.263339622101,928.3848779227964,970.2631568281015,1.836066712146045,,,,
