metric,model,structural_mean,structural_std,structural_n,independent_mean,independent_std,independent_n,correlated_mean,correlated_std,correlated_n,mixed_mean,mixed_std,mixed_n
whale_f1,Heckman-global-rfree,0.09,0.08755950357709132,10,0.1,0.06666666666666668,10,0.07,0.0674948557710553,10,0.08,0.07888106377466154,10
whale_f1,Hurdle-rfree,0.11000000000000001,0.11005049346146119,10,0.11000000000000001,0.07378647873726218,10,0.07999999999999999,0.09189365834726813,10,0.08,0.07888106377466156,10
whale_f1,BEMMAOR-global-rfree,0.08,0.08366600265340757,5,0.14,0.05477225575051661,5,0.08,0.08366600265340757,5,0.1,0.07071067811865477,5
lead_time_train_mean,BEMMAOR-indiv-rfree,11.367662965016233,0.5482340931943291,10,13.303134307912416,0.9217413128851956,10,8.478783172625576,0.3303138879400297,10,11.24336875224446,0.5291952730142709,10
lead_time_train_mean,Heckman-indiv-rfree,10.312471720484464,0.831025987923515,10,13.064877708817855,0.6394545746662968,10,9.070093397296699,0.5156147518034059,10,11.63205876824005,0.46415293929050666,10
lead_time_train_mean,Heckman-global-rfree,12.905715482017822,0.7732901306480544,10,13.149043613263894,0.7098772280519066,10,10.667976415882041,0.8889041499666144,10,12.164121171978014,0.5076180331689494,10
lead_time_train_mean,Hurdle-rfree,11.713825943935422,0.5343956309200655,10,13.195012808510892,0.7326134375412117,10,9.170536825877374,0.4835560431703673,10,11.821059290544259,0.3818188555850152,10
lead_time_train_mean,BEMMAOR-global-rfree,12.427306515276515,0.7551060335798391,5,12.870780609554194,0.4835857642558044,5,11.269978425310674,1.2301927084610924,5,12.719433630024287,0.8287367764063505,5
timing_accuracy,BEMMAOR-indiv-rfree,0.3629222982502086,0.01422860065584222,10,0.5130948657358517,0.023389069568520496,10,0.2538501886520823,0.012647813763750904,10,0.38001401376397365,0.02323321985091954,10
timing_accuracy,Heckman-indiv-rfree,0.31584596271789095,0.013014746261234821,10,0.5040090586179958,0.022906531593696444,10,0.23176753754759036,0.008751233735937882,10,0.36992051985675223,0.026872813516263548,10
timing_accuracy,Heckman-global-rfree,0.32332659381029183,0.01400953027174224,10,0.5131550279095813,0.02337874012199545,10,0.22460750202511864,0.01636410426305756,10,0.36861193473503084,0.027165923584245286,10
timing_accuracy,Hurdle-rfree,0.3214432474769878,0.009779270463451329,10,0.5051439360322211,0.024452103931417456,10,0.23260765176542358,0.01022892055315729,10,0.36368880915354024,0.021600969199536094,10
timing_accuracy,BEMMAOR-global-rfree,0.31053147981340046,0.007415094265367768,5,0.5028591488270915,0.03139589034287463,5,0.2143048893919331,0.009398487266446164,5,0.35699974588686834,0.0155965044068374,5
